bubble_plot_data (1)
suicides_no,population,suicides/100k pop, gdp_for_year ($) ,Country,Continent
1958,582014,6156.56,30593490477.871000,Luxembourg,Europe
15297,5728000,3721.65,179572673702.54800,Denmark,Europe
111139,123300000,1751.19,680307770907.4520,Mexico,North America
8624,268467573.3666670,2994.73,10832493293.709700,Turkmenistan,Asia
226613,161869784.93333300,2174.72,1022560962485.3500,Brazil,South America
184,122700828.13333300,106.44,4362154589.193550,Jamaica,North America
3894,92431971.96666670,4464.58,6190754466.978490,Mauritius,Africa
3224,80995024.48,1116.38,5518993636.0,Georgia,Europe
37795,80440097.0,5247.72,341614536282.9360,Sweden,Europe
10131,57958926.0,199.17,189277735487.58100,Turkey,Asia
33677,57612302.5862069,7924.11,163991045776.74200,Finland,Europe
11294,57168123.46666670,3329.97,139431902623.2260,Israel,Asia
4783,56056219.94736840,1366.37,10179217220.516100,Paraguay,South America
55641,51122589.70967740,4658.96,5438416261.741940,Sri Lanka,Asia
98,45954250.63157900,1615.7,497304710.35483900,Seychelles,Africa
110643,45945328.0,2362.67,188120999869.75800,Thailand,Asia
10089,40922036.5,6340.98,125492113153.45200,Singapore,Asia
40895,36931398.86666670,3921.64,111254282897.32300,Chile,South America
21330,34647201.16,435.83,55009009027.741900,Philippines,Asia
82219,34532847.7,3894.59,274256497624.6130,Argentina,South America
42,29501863.67857140,133.84,60155615.51612900,Cabo Verde,Africa
574,21298739.37037040,318.15,52644254649.89790,Qatar,Asia
622,20267605.5,94.89,49014806660.645200,United Arab Emirates,Asia
70111,18079259.53333330,4677.41,612338843279.8390,Australia,Oceania
472,15334234.483871000,1194.03,792728726.2580650,Montenegro,Europe
806902,15100554.76,8025.23,4339220721652.130,Japan,Asia
107561,14254169.733333300,4338.72,854272277630.129,Canada,North America
0,11477599.666666700,0.0,3180167.258064520,Dominica,North America
18429,10947397.08695650,5982.84,30410409039.897800,Croatia,Europe
291262,10536536.833333300,4854.69,2299937362995.770,Germany,Europe
38,10529580.586206900,661.0,480199377.9623660,Grenada,North America
412,10157943.846153800,586.26,10230073371.887100,Cyprus,Europe
62761,10110087.366666700,7900.5,318402387543.871,Belgium,Europe
3426,9945770.24,6655.92,903927466.6129030,Guyana,South America
