suicides_no,population,suicides/100k pop, gdp_for_year ($) ,Country,Continent
1970,62325467,924.76,3698598279.580645,Albania,Europe
11,1990228,179.14,699861962.9354838,Antigua and Barbuda,North America
82219,1035985431,3894.59,274256497624.6129,Argentina,South America
1905,77348173,976.21,4315065776.860215,Armenia,Eurupe
101,1259677,1596.52,991842854.6129032,Aruba,Oceania
70111,542377786,4677.41,612338843279.8387,Australia,Oceania
50073,243853094,9076.23,273167224435.58603,Austria,Europe
1656,111790300,356.24,3721645064.1612906,Azerbaijan,Europe
93,6557048,344.28,5648969348.387097,Bahamas,North America
463,16753926,467.24,10897285037.774195,Bahrain,Asia
177,6213691,891.13,2492398303.2580647,Barbados,North America
59892,197372292,7831.13,20780797152.032257,Belarus,Europe
62761,303302621,7900.5,318402387543.871,Belgium,Europe
348,6289015,2093.49,863517362.9032258,Belize,North America
318,7327481,110.81,1200098947.3870966,Bosnia and Herzegovina,Europe
226613,4856093548,2174.72,1022560962485.3549,Brazil,South America
36388,231939958,7016.08,26268965179.741932,Bulgaria,Europe
42,452179,133.84,60155615.51612904,Cabo Verde,Africa
107561,826052183,4338.72,854272277630.129,Canada,North America
40895,427625092,3921.64,111254282897.32257,Chile,South America
53080,1107941966,2009.39,144463845922.03226,Colombia,South America
6792,102176788,2553.72,18564710621.032257,Costa Rica,North America
18429,91730351,5982.84,30410409039.897846,Croatia,Europe
41418,251790133,6111.95,35678416970.32258,Cuba,North America
412,11607462,586.26,10230073371.887096,Cyprus,Europe
43687,264106540,5952.99,105650786677.56451,Czech Republic,Europe
15297,112182219,3721.65,179572673702.54837,Denmark,Europe
0,66400,0.0,3180167.258064516,Dominica,North America
20660,344327990,2345.21,39601324323.70968,Ecuador,South America
11683,124683698,3035.94,10490128987.225805,El Salvador,North America
7034,27090810,6873.78,9785906092.193548,Estonia,Europe
304,8187391,673.86,1038745406.9032258,Fiji,Oceania
33677,141925658,7924.11,163991045776.74194,Finland,Europe
329127,1670756775,7803.25,1723736192703.0,France,Europe
3224,93598800,1116.38,5518993636.0,Georgia,Europe
291262,2024875612,4854.69,2299937362995.774,Germany,Europe
12368,316096105,1512.12,176604667141.45163,Greece,Europe
38,2347286,661.0,480199377.9623656,Grenada,North America
8149,305357837,1146.7,24422060616.677418,Guatemala,North America
3426,16594589,6655.92,903927466.6129032,Guyana,South America
73891,248644256,10156.07,74603164459.02689,Hungary,Europe
1108,8407904,4889.74,11025263890.54301,Iceland,Europe
12574,109023686,3881.73,127314811809.32257,Ireland,Europe
11294,173071788,3329.97,139431902623.2258,Israel,Asia
132060,1715043704,3168.87,1481751544779.1936,Italy,Europe
184,39481817,106.44,4362154589.193548,Jamaica,North America
806902,3681024844,8025.23,4339220721652.129,Japan,Asia
101546,377513869,9519.52,65995730761.32258,Kazakhstan,Asia
53,741606,878.51,21036089.580645163,Kiribati,Africa
966,57109991,355.93,58201825478.064514,Kuwait,Asia
13090,115174187,4457.3,2776088413.16129,Kyrgyzstan,Asia
12770,44852640,7373.35,12408022102.32258,Latvia,Europe
28039,68085210,10588.88,19516616795.392475,Lithuania,Europe
1958,12953156,6156.56,30593490477.870968,Luxembourg,Europe
27,346542,171.74,202124008.12903225,Macau,Africa
20,2900246,164.07999999999998,494723182.3870968,Maldives,Asia
585,11227403,1872.01,5291359496.67742,Malta,Europe
3894,33411909,4464.58,6190754466.978494,Mauritius,Africa
111139,2772959159,1751.19,680307770907.4515,Mexico,North America
423,2167589,184.39,300630594.91935486,Mongolia,Asia
472,5834863,1194.03,792728726.2580646,Montenegro,Europe
50833,475361269,4066.52,557128185631.6827,Netherlands,Europe
14383,103090430,5008.32,77355570306.70967,New Zealand,Oceania
2013,31742633,472.82,2081917363.2903225,Nicaragua,North America
16992,127973087,4658.76,244418378429.93546,Norway,Europe
33,8987087,26.5,6067981039.483871,Oman,Asia
3483,70265659,1744.06,16297664064.516129,Panama,North America
4783,124641969,1366.37,10179217220.516129,Paraguay,South America
21330,1065068179,435.83,55009009027.741936,Philippines,Asia
139098,866180029,4397.62,227967701923.87097,Poland,Europe
24061,261258816,3673.36,120994834064.03227,Portugal,Europe
9043,105386625,3789.28,63221567525.80645,Puerto Rico,North America
574,21870545,318.15,52644254649.89785,Qatar,Asia
261730,1354944936,9350.45,673420794900.5807,Republic of Korea,Asia
72777,575065963,4171.55,86272426966.15591,Romania,Europe
1209742,3690802620,11305.13,770216734409.4194,Russian Federation,Europe
0,117300,0.0,20905029.870967742,Saint Kitts and Nevis,Africa
230,3910520,2420.12,759563684.9032258,Saint Lucia,North America
124,2437662,1726.6299999999999,393909940.2258065,Saint Vincent and Grenadines,North America
4,78825,145.62,137943543.0967742,San Marino,Europe
24179,126140138,4787.45,18072707668.0,Serbia,Europe
98,1392816,1615.7,497304710.35483867,Seychelles,Africa
10089,94242441,6340.98,125492113153.45161,Singapore,Asia
13437,111833713,3318.16,38177616709.58064,Slovakia,Europe
10615,40268619,7012.62,24319397713.935486,Slovenia,Europe
7321,873130762,231.49,160945879133.32257,South Africa,Africa
100202,1227661095,3509.06,856567980317.0322,Spain,Europe
55641,182525626,4658.96,5438416261.741936,Sri Lanka,Asia
2166,11639269,7162.32,1755318010.4838707,Suriname,South America
37795,253297131,5247.72,341614536282.9355,Sweden,Europe
26217,149994010,4794.07,309262685972.3226,Switzerland,Europe
110643,1584800281,2362.67,188120999869.75806,Thailand,Asia
4039,31243097,4479.51,9100086310.612904,Trinidad and Tobago,North America
10131,482640582,199.17,189277735487.58066,Turkey,Asia
8624,115576818,2994.73,10832493293.709677,Turkmenistan,Asia
319950,1286469184,8931.66,75772614900.25807,Ukraine,Europe
622,36502275,94.89,49014806660.645164,United Arab Emirates,Asia
136805,1738767780,2790.92,1816067469426.613,United Kingdom,Europe
1034013,8054027201,5140.97,10510712193548.387,United States,North America
13138,84068943,6538.96,21115855583.35484,Uruguay,South America
34803,486422532,2138.17,16223248805.258064,Uzbekistan,Asia
